"","water_system_number","water_system_name","facility_id","facility_names","treatment_type","treatment_status","class","unit_process","treatment_objective","treatment_process"
"20",110001,"ALAMEDA COUNTY WATER DISTRICT",15,"MISSION SAN JOSE WTP","TP","treatment_status","T4","FLOCCULATION","PARTICULATE REMOVAL","FLOCCULATION"
"21",110001,"ALAMEDA COUNTY WATER DISTRICT",15,"MISSION SAN JOSE WTP","TP","treatment_status","T4","SEDIMENTATION","PARTICULATE REMOVAL","SEDIMENTATION"
"22",110001,"ALAMEDA COUNTY WATER DISTRICT",38,"PERALTA-TYSON BLENDING FACILITY","TP","treatment_status","T4","CHEMICAL FEEDER","CORROSION CONTROL","PH ADJUSTMENT"
"23",110001,"ALAMEDA COUNTY WATER DISTRICT",38,"PERALTA-TYSON BLENDING FACILITY","TP","treatment_status","T4","DISINFECTION","DISINFECTION","CHLORAMINES"
"24",110001,"ALAMEDA COUNTY WATER DISTRICT",38,"PERALTA-TYSON BLENDING FACILITY","TP","treatment_status","T4","GENERIC UNIT","OTHER","FLUORIDATION"
"25",110001,"ALAMEDA COUNTY WATER DISTRICT",40,"WATER TREATMENT PLANT 2","TP","treatment_status","T5","CHEMICAL FEEDER","CORROSION CONTROL","PH ADJUSTMENT"
"26",110001,"ALAMEDA COUNTY WATER DISTRICT",40,"WATER TREATMENT PLANT 2","TP","treatment_status","T5","DISINFECTION","DISINFECTION","CHLORAMINES"
"27",110001,"ALAMEDA COUNTY WATER DISTRICT",40,"WATER TREATMENT PLANT 2","TP","treatment_status","T5","DISINFECTION","DISINFECTION","HYPOCHLORINATION, PRE"
"28",110001,"ALAMEDA COUNTY WATER DISTRICT",40,"WATER TREATMENT PLANT 2","TP","treatment_status","T5","DISINFECTION","DISINFECTION","OZONATION, PRE"
"29",110001,"ALAMEDA COUNTY WATER DISTRICT",40,"WATER TREATMENT PLANT 2","TP","treatment_status","T5","FILTER","PARTICULATE REMOVAL","FILTERED"
"30",110001,"ALAMEDA COUNTY WATER DISTRICT",40,"WATER TREATMENT PLANT 2","TP","treatment_status","T5","FLOCCULATION","PARTICULATE REMOVAL","COAGULATION"
"31",110001,"ALAMEDA COUNTY WATER DISTRICT",40,"WATER TREATMENT PLANT 2","TP","treatment_status","T5","FLOCCULATION","PARTICULATE REMOVAL","FLOCCULATION"
"32",110001,"ALAMEDA COUNTY WATER DISTRICT",40,"WATER TREATMENT PLANT 2","TP","treatment_status","T5","SEDIMENTATION","PARTICULATE REMOVAL","SEDIMENTATION"
"33",110001,"ALAMEDA COUNTY WATER DISTRICT",53,"NEWARK DESALINATION FACILITY","TP","treatment_status","T3","CHEMICAL FEEDER","CORROSION CONTROL","PH ADJUSTMENT"
"34",110001,"ALAMEDA COUNTY WATER DISTRICT",53,"NEWARK DESALINATION FACILITY","TP","treatment_status","T3","DISINFECTION","DISINFECTION","CHLORAMINES"
"35",110001,"ALAMEDA COUNTY WATER DISTRICT",53,"NEWARK DESALINATION FACILITY","TP","treatment_status","T3","DISINFECTION","DISINFECTION BY-PRODUCTS CONTR","CHLORAMINES"
"36",110001,"ALAMEDA COUNTY WATER DISTRICT",53,"NEWARK DESALINATION FACILITY","TP","treatment_status","T3","FILTER","DISINFECTION BY-PRODUCTS CONTR","REVERSE OSMOSIS"
"37",110003,"CALIFORNIA WATER SERVICE - LIVERMORE",18,"STATION 18 TREATMENT FACILITY","TP","treatment_status","T1","BLENDING","INORGANICS REMOVAL","RAPID MIX"
"38",110003,"CALIFORNIA WATER SERVICE - LIVERMORE",18,"STATION 18 TREATMENT FACILITY","TP","treatment_status","T1","CHLORINATION","DISINFECTION","HYPOCHLORINATION, POST"
"39",110003,"CALIFORNIA WATER SERVICE - LIVERMORE",19,"STATION 19 TREATMENT FACILITY","TP","treatment_status","T1","BLENDING","INORGANICS REMOVAL","RAPID MIX"
"40",110003,"CALIFORNIA WATER SERVICE - LIVERMORE",19,"STATION 19 TREATMENT FACILITY","TP","treatment_status","T1","CHLORAMINATION","DISINFECTION","CHLORAMINES"
"41",110003,"CALIFORNIA WATER SERVICE - LIVERMORE",20,"STATION 9 TREATMENT FACILITY","TP","treatment_status","T1","BLENDING","INORGANICS REMOVAL","RAPID MIX"
"42",110003,"CALIFORNIA WATER SERVICE - LIVERMORE",20,"STATION 9 TREATMENT FACILITY","TP","treatment_status","T1","CHLORAMINATION","DISINFECTION","CHLORAMINES"
"43",110003,"CALIFORNIA WATER SERVICE - LIVERMORE",22,"STATION 10 GAC AND BLENDING FACILITY","TP","treatment_status","T2","BLENDING","INORGANICS REMOVAL","RAPID MIX"
"44",110003,"CALIFORNIA WATER SERVICE - LIVERMORE",22,"STATION 10 GAC AND BLENDING FACILITY","TP","treatment_status","T2","DISINFECTION","DISINFECTION","CHLORAMINES"
"45",110003,"CALIFORNIA WATER SERVICE - LIVERMORE",22,"STATION 10 GAC AND BLENDING FACILITY","TP","treatment_status","T2","FILTER","ORGANICS REMOVAL","ACTIVATED CARBON, GRANULAR"
"46",110003,"CALIFORNIA WATER SERVICE - LIVERMORE",25,"STATION 14 GAC TREATMENT FACILITY","TP","treatment_status","T2","DISINFECTION","DISINFECTION","HYPOCHLORINATION, POST"
"47",110003,"CALIFORNIA WATER SERVICE - LIVERMORE",25,"STATION 14 GAC TREATMENT FACILITY","TP","treatment_status","T2","FILTER","ORGANICS REMOVAL","ACTIVATED CARBON, GRANULAR"
"48",110003,"CALIFORNIA WATER SERVICE - LIVERMORE",26,"STATION 31 CHLORAMINATION FACILITY","TP","treatment_status","TD","DISINFECTION","DISINFECTION","CHLORAMINES"
"49",110003,"CALIFORNIA WATER SERVICE - LIVERMORE",27,"STATION 5 CHLORINATION FACILITY","TP","treatment_status","TD","DISINFECTION","DISINFECTION","HYPOCHLORINATION, POST"
"50",110003,"CALIFORNIA WATER SERVICE - LIVERMORE",28,"STATION 24 CHLORAMINATION FACILITY","TP","treatment_status","TD","DISINFECTION","DISINFECTION","CHLORAMINES"
"51",110003,"CALIFORNIA WATER SERVICE - LIVERMORE",29,"STATION 20 CHLORAMINATION FACILITY","TP","treatment_status","TD","DISINFECTION","DISINFECTION","CHLORAMINES"
"52",110003,"CALIFORNIA WATER SERVICE - LIVERMORE",32,"WELL 15 CHLORINATION FACILITY","TP","treatment_status","TD","DISINFECTION","DISINFECTION","HYPOCHLORINATION, POST"
"53",110003,"CALIFORNIA WATER SERVICE - LIVERMORE",36,"STATION 8 CHLORINATION FACILITY","TP","treatment_status","TD","DISINFECTION","DISINFECTION","HYPOCHLORINATION, POST"
"54",110005,"EAST BAY MUD",4,"LAFAYETTE WTP","TP","treatment_status","T5","CHEMICAL FEEDER","CORROSION CONTROL","PH ADJUSTMENT"
"55",110005,"EAST BAY MUD",4,"LAFAYETTE WTP","TP","treatment_status","T5","DISINFECTION","DISINFECTION","CHLORAMINES"
"56",110005,"EAST BAY MUD",4,"LAFAYETTE WTP","TP","treatment_status","T5","DISINFECTION","DISINFECTION BY-PRODUCTS CONTR","CHLORAMINES"
"57",110005,"EAST BAY MUD",5,"ORINDA WTP","TP","treatment_status","T5","CHEMICAL FEEDER","CORROSION CONTROL","PH ADJUSTMENT"
"58",110005,"EAST BAY MUD",5,"ORINDA WTP","TP","treatment_status","T5","DISINFECTION","DISINFECTION","CHLORAMINES"
"59",110005,"EAST BAY MUD",5,"ORINDA WTP","TP","treatment_status","T5","DISINFECTION","DISINFECTION BY-PRODUCTS CONTR","CHLORAMINES"
"60",110005,"EAST BAY MUD",9,"SOBRANTE WTP","TP","treatment_status","T5","CHEMICAL FEEDER","CORROSION CONTROL","PH ADJUSTMENT"
"61",110005,"EAST BAY MUD",9,"SOBRANTE WTP","TP","treatment_status","T5","DISINFECTION","DISINFECTION","CHLORAMINES"
"62",110005,"EAST BAY MUD",9,"SOBRANTE WTP","TP","treatment_status","T5","DISINFECTION","DISINFECTION BY-PRODUCTS CONTR","CHLORAMINES"
"63",110005,"EAST BAY MUD",11,"UPPER SAN LEANDRO WTP","TP","treatment_status","T5","CHEMICAL FEEDER","CORROSION CONTROL","PH ADJUSTMENT"
"64",110005,"EAST BAY MUD",11,"UPPER SAN LEANDRO WTP","TP","treatment_status","T5","DISINFECTION","DISINFECTION","CHLORAMINES"
"65",110005,"EAST BAY MUD",11,"UPPER SAN LEANDRO WTP","TP","treatment_status","T5","DISINFECTION","DISINFECTION BY-PRODUCTS CONTR","CHLORAMINES"
"66",110005,"EAST BAY MUD",12,"WALNUT CREEK WTP","TP","treatment_status","T5","CHEMICAL FEEDER","CORROSION CONTROL","PH ADJUSTMENT"
"67",110005,"EAST BAY MUD",12,"WALNUT CREEK WTP","TP","treatment_status","T5","DISINFECTION","DISINFECTION","CHLORAMINES"
"68",110005,"EAST BAY MUD",12,"WALNUT CREEK WTP","TP","treatment_status","T5","DISINFECTION","DISINFECTION BY-PRODUCTS CONTR","CHLORAMINES"
"69",110005,"EAST BAY MUD",13,"SAN PABLO WTP - STANDBY","TP","treatment_status","T5","CHEMICAL FEEDER","CORROSION CONTROL","PH ADJUSTMENT"
"70",110005,"EAST BAY MUD",13,"SAN PABLO WTP - STANDBY","TP","treatment_status","T5","DISINFECTION","DISINFECTION","CHLORAMINES"
"71",110005,"EAST BAY MUD",13,"SAN PABLO WTP - STANDBY","TP","treatment_status","T5","DISINFECTION","DISINFECTION BY-PRODUCTS CONTR","CHLORAMINES"
"72",110005,"EAST BAY MUD",13,"SAN PABLO WTP - STANDBY","TP","treatment_status","T5","FILTER","PARTICULATE REMOVAL","FILTERED"
"73",110005,"EAST BAY MUD",13,"SAN PABLO WTP - STANDBY","TP","treatment_status","T5","FLOCCULATION","PARTICULATE REMOVAL","COAGULATION"
"74",110005,"EAST BAY MUD",13,"SAN PABLO WTP - STANDBY","TP","treatment_status","T5","SEDIMENTATION","PARTICULATE REMOVAL","SEDIMENTATION"
"75",110008,"CITY OF PLEASANTON",6,"WELL 5 & 6 CHLORAMINE/FLUORIDE","TP","treatment_status","T1","DISINFECTION","DISINFECTION","HYPOCHLORINATION, POST"
"76",110008,"CITY OF PLEASANTON",6,"WELL 5 & 6 CHLORAMINE/FLUORIDE","TP","treatment_status","T1","GENERIC UNIT","OTHER","FLUORIDATION"
"77",110008,"CITY OF PLEASANTON",9,"WELL 08 CHLORAMINATION FACILITY","TP","treatment_status","T1","DISINFECTION","DISINFECTION","HYPOCHLORINATION, POST"
"78",110008,"CITY OF PLEASANTON",9,"WELL 08 CHLORAMINATION FACILITY","TP","treatment_status","T1","GENERIC UNIT","OTHER","FLUORIDATION"
"79",110010,"ZONE 7 WATER AGENCY",1,"DEL VALLE WTP","TP","treatment_status","T5","CHEMICAL FEEDER","CORROSION CONTROL","PH ADJUSTMENT, POST"
"80",110010,"ZONE 7 WATER AGENCY",1,"DEL VALLE WTP","TP","treatment_status","T5","DISINFECTION","DISINFECTION","CHLORAMINES"
"81",110010,"ZONE 7 WATER AGENCY",1,"DEL VALLE WTP","TP","treatment_status","T5","DISINFECTION","DISINFECTION BY-PRODUCTS CONTR","CHLORAMINES"
"82",110010,"ZONE 7 WATER AGENCY",1,"DEL VALLE WTP","TP","treatment_status","T5","FILTER","PARTICULATE REMOVAL","FILTRATION, RAPID SAND"
"83",110010,"ZONE 7 WATER AGENCY",1,"DEL VALLE WTP","TP","treatment_status","T5","FLOCCULATION","PARTICULATE REMOVAL","COAGULATION"
"84",110010,"ZONE 7 WATER AGENCY",1,"DEL VALLE WTP","TP","treatment_status","T5","SEDIMENTATION","PARTICULATE REMOVAL","SEDIMENTATION"
"85",110010,"ZONE 7 WATER AGENCY",8,"PATTERSON PASS WTP","TP","treatment_status","T4","CHEMICAL FEEDER","CORROSION CONTROL","PH ADJUSTMENT, POST"
"86",110010,"ZONE 7 WATER AGENCY",8,"PATTERSON PASS WTP","TP","treatment_status","T4","DISINFECTION","DISINFECTION","CHLORAMINES"
"87",110010,"ZONE 7 WATER AGENCY",8,"PATTERSON PASS WTP","TP","treatment_status","T4","DISINFECTION","DISINFECTION BY-PRODUCTS CONTR","CHLORAMINES"
"88",110010,"ZONE 7 WATER AGENCY",8,"PATTERSON PASS WTP","TP","treatment_status","T4","FILTER","PARTICULATE REMOVAL","FILTRATION, RAPID SAND"
"89",110010,"ZONE 7 WATER AGENCY",8,"PATTERSON PASS WTP","TP","treatment_status","T4","FLOCCULATION","PARTICULATE REMOVAL","COAGULATION"
"90",110010,"ZONE 7 WATER AGENCY",8,"PATTERSON PASS WTP","TP","treatment_status","T4","SEDIMENTATION","PARTICULATE REMOVAL","SEDIMENTATION"
"91",110010,"ZONE 7 WATER AGENCY",10,"STONERIDGE WELL 01 - TREATED XCLD","TP","treatment_status","TD","DISINFECTION","DISINFECTION","CHLORAMINES"
"92",110010,"ZONE 7 WATER AGENCY",10,"STONERIDGE WELL 01 - TREATED XCLD","TP","treatment_status","TD","DISINFECTION","DISINFECTION BY-PRODUCTS CONTR","CHLORAMINES"
"93",110010,"ZONE 7 WATER AGENCY",14,"HOPYARD WELL 09 - TREATED XCLD","TP","treatment_status","TD","DISINFECTION","DISINFECTION","CHLORAMINES"
"94",110010,"ZONE 7 WATER AGENCY",14,"HOPYARD WELL 09 - TREATED XCLD","TP","treatment_status","TD","DISINFECTION","DISINFECTION BY-PRODUCTS CONTR","CHLORAMINES"
"95",110010,"ZONE 7 WATER AGENCY",20,"MOCHO GROUNDWATER DEMINERALIZATION PLANT","TP","treatment_status","T2","DEMIN","SOFTENING (HARDNESS REMOVAL)","REVERSE OSMOSIS"
"96",110010,"ZONE 7 WATER AGENCY",20,"MOCHO GROUNDWATER DEMINERALIZATION PLANT","TP","treatment_status","T2","DISINFECTION","DISINFECTION","HYPOCHLORINATION, POST"
"97",110010,"ZONE 7 WATER AGENCY",22,"HOPYARD WELL 06 - TREATED XCLD","TP","treatment_status","TD","DISINFECTION","DISINFECTION","HYPOCHLORINATION, POST"
"98",110010,"ZONE 7 WATER AGENCY",25,"CHAIN OF LAKES CHLORAMINE FACILITY","TP","treatment_status","T2","CHLORAMINATION","DISINFECTION","CHLORAMINES"
"99",110018,"SFPUC-PLEASANTON WELLS",7,"PWF - TREATED","TP","treatment_status","TD","DISINFECTION","DISINFECTION","HYPOCHLORINATION, POST"
"100",110019,"GOLDEN GATE CHURCH",2,"CHURCH WELL - TREATED XCLD","TP","treatment_status","TD","CHEMICAL FEEDER","TASTE / ODOR CONTROL","HYPOCHLORINATION, PRE"
"101",110650,"USBR-SLDMWA - CVP JONES PUMPING PLANT",2,"JONES PUMPING PLANT WTP","TP","treatment_status","T2","DISINFECTION","DISINFECTION","HYPOCHLORINATION, POST"
"102",110650,"USBR-SLDMWA - CVP JONES PUMPING PLANT",2,"JONES PUMPING PLANT WTP","TP","treatment_status","T2","FILTER","PARTICULATE REMOVAL","FILTRATION, ULTRAFILTRATION"
"103",202504,"MARKLEEVILLE WATER CO.",2,"WATER TREATMENT PLANT- TREATED","TP","treatment_status","T2","DISINFECTION","DISINFECTION","HYPOCHLORINATION, POST"
"104",202556,"BLUE LAKES C.G. - UPPER",2,"WELL - TREATED","TP","treatment_status","NR","FILTER","IRON REMOVAL","FILTRATION, GREENSAND"
"105",210001,"LAKE ALPINE WATER COMPANY",4,"BEAR LAKE - TREATED","TP","treatment_status","T2","CHEMICAL FEEDER","CORROSION CONTROL","PH ADJUSTMENT, POST"
"106",210001,"LAKE ALPINE WATER COMPANY",4,"BEAR LAKE - TREATED","TP","treatment_status","T2","DISINFECTION","DISINFECTION","GASEOUS CHLORINATION, PRE"
"107",210001,"LAKE ALPINE WATER COMPANY",4,"BEAR LAKE - TREATED","TP","treatment_status","T2","FILTER","PARTICULATE REMOVAL","FILTERED"
"108",210001,"LAKE ALPINE WATER COMPANY",4,"BEAR LAKE - TREATED","TP","treatment_status","T2","FLASH MIX","PARTICULATE REMOVAL","RAPID MIX"
"109",210001,"LAKE ALPINE WATER COMPANY",4,"BEAR LAKE - TREATED","TP","treatment_status","T2","FLOCCULATION","PARTICULATE REMOVAL","COAGULATION"
"110",210002,"KIRKWOOD MEADOWS PUBLIC UTILITY DISTRICT",4,"WELL 02 - TREATED (PH ADJ)","TP","treatment_status","T1","CHEMICAL FEEDER","CORROSION CONTROL","PH ADJUSTMENT, POST"
"111",210002,"KIRKWOOD MEADOWS PUBLIC UTILITY DISTRICT",4,"WELL 02 - TREATED (PH ADJ)","TP","treatment_status","T1","DISINFECTION","DISINFECTION","HYPOCHLORINATION, POST"
"112",210002,"KIRKWOOD MEADOWS PUBLIC UTILITY DISTRICT",8,"WELL 04 AND 05 - TREATED","TP","treatment_status","TD","DISINFECTION","DISINFECTION","HYPOCHLORINATION, POST"
"113",210002,"KIRKWOOD MEADOWS PUBLIC UTILITY DISTRICT",9,"WELL 03R - TREATED","TP","treatment_status","TD","DISINFECTION","DISINFECTION","HYPOCHLORINATION, POST"
"114",210300,"CA STATE PARKS - GROVER HOT SPRINGS",2,"BUCK CREEK - TREATED","TP","treatment_status","T2","FILTER","PARTICULATE REMOVAL","FILTRATION, PRESSURE SAND"
"115",300011,"SUTTER PINES MHP",3,"WELL 01 AND 02 - TREATED","TP","treatment_status","T2","CHEMICAL FEEDER","CORROSION CONTROL","PH ADJUSTMENT"
"116",300011,"SUTTER PINES MHP",3,"WELL 01 AND 02 - TREATED","TP","treatment_status","T2","CHEMICAL FEEDER","DISINFECTION","CHLORINATION (FRDS-1.5)"
"117",300011,"SUTTER PINES MHP",3,"WELL 01 AND 02 - TREATED","TP","treatment_status","T2","CHEMICAL FEEDER","RADIONUCLIDES REMOVAL","ION EXCHANGE"
"118",300011,"SUTTER PINES MHP",3,"WELL 01 AND 02 - TREATED","TP","treatment_status","T2","CHEMICAL FEEDER","SOFTENING (HARDNESS REMOVAL)","ION EXCHANGE"
"119",300011,"SUTTER PINES MHP",3,"WELL 01 AND 02 - TREATED","TP","treatment_status","T2","DISINFECTION","CORROSION CONTROL","PH ADJUSTMENT"
"120",300011,"SUTTER PINES MHP",3,"WELL 01 AND 02 - TREATED","TP","treatment_status","T2","DISINFECTION","DISINFECTION","CHLORINATION (FRDS-1.5)"
"121",300011,"SUTTER PINES MHP",3,"WELL 01 AND 02 - TREATED","TP","treatment_status","T2","DISINFECTION","RADIONUCLIDES REMOVAL","ION EXCHANGE"
"122",300011,"SUTTER PINES MHP",3,"WELL 01 AND 02 - TREATED","TP","treatment_status","T2","DISINFECTION","SOFTENING (HARDNESS REMOVAL)","ION EXCHANGE"
"123",300011,"SUTTER PINES MHP",3,"WELL 01 AND 02 - TREATED","TP","treatment_status","T2","FILTER","IRON REMOVAL","FILTRATION, PRESSURE SAND"
"124",300011,"SUTTER PINES MHP",3,"WELL 01 AND 02 - TREATED","TP","treatment_status","T2","FLOCCULATION","IRON REMOVAL","HYPOCHLORINATION, PRE"
"125",300011,"SUTTER PINES MHP",3,"WELL 01 AND 02 - TREATED","TP","treatment_status","T2","PACKAGE UNIT","CORROSION CONTROL","PH ADJUSTMENT"
"126",300011,"SUTTER PINES MHP",3,"WELL 01 AND 02 - TREATED","TP","treatment_status","T2","PACKAGE UNIT","DISINFECTION","CHLORINATION (FRDS-1.5)"
"127",300011,"SUTTER PINES MHP",3,"WELL 01 AND 02 - TREATED","TP","treatment_status","T2","PACKAGE UNIT","RADIONUCLIDES REMOVAL","ION EXCHANGE"
"128",300011,"SUTTER PINES MHP",3,"WELL 01 AND 02 - TREATED","TP","treatment_status","T2","PACKAGE UNIT","SOFTENING (HARDNESS REMOVAL)","ION EXCHANGE"
"129",300016,"VOLCANO COMMUNITY SERVICE DIST",4,"CLEVELAND TUNNEL-TREATED","TP","treatment_status","T2","DISINFECTION","DISINFECTION","HYPOCHLORINATION, PRE"
"130",300016,"VOLCANO COMMUNITY SERVICE DIST",4,"CLEVELAND TUNNEL-TREATED","TP","treatment_status","T2","FILTER","PARTICULATE REMOVAL","FILTERED"
"131",300016,"VOLCANO COMMUNITY SERVICE DIST",5,"VOLCANO CSD WELL 01 & 02 TREATED","TP","treatment_status","T2","DISINFECTION","DISINFECTION","CHLORINATION (FRDS-1.5)"
"132",300016,"VOLCANO COMMUNITY SERVICE DIST",5,"VOLCANO CSD WELL 01 & 02 TREATED","TP","treatment_status","T2","DISINFECTION","IRON REMOVAL","FILTRATION, GREENSAND"
"133",300016,"VOLCANO COMMUNITY SERVICE DIST",5,"VOLCANO CSD WELL 01 & 02 TREATED","TP","treatment_status","T2","FILTER","DISINFECTION","CHLORINATION (FRDS-1.5)"
"134",300016,"VOLCANO COMMUNITY SERVICE DIST",5,"VOLCANO CSD WELL 01 & 02 TREATED","TP","treatment_status","T2","FILTER","IRON REMOVAL","FILTRATION, GREENSAND"
"135",300016,"VOLCANO COMMUNITY SERVICE DIST",5,"VOLCANO CSD WELL 01 & 02 TREATED","TP","treatment_status","T2","FLOCCULATION","IRON REMOVAL","HYPOCHLORINATION, PRE"
"136",300019,"FIDDLETOWN COMMUNITY SERVICE",2,"FIDDLETOWN CSD WELL 02-TREATED","TP","treatment_status","TD","DISINFECTION","DISINFECTION","HYPOCHLORINATION, PRE"
"137",300024,"TABEAU MOBILE HOME PARK",3,"TABEAU MHP WELL--TREATED","TP","treatment_status","T1","CHEMICAL FEEDER","CORROSION CONTROL","PH ADJUSTMENT"
"138",300037,"JACKSON VALLEY IRRIGATION DISTRICT",2,"LAKE AMADOR-TREATED - STANDBY","TP","treatment_status","T3","DISINFECTION","DISINFECTION","HYPOCHLORINATION, POST"
"139",300037,"JACKSON VALLEY IRRIGATION DISTRICT",2,"LAKE AMADOR-TREATED - STANDBY","TP","treatment_status","T3","TRIMITE","PARTICULATE REMOVAL","FILTERED"
"140",300037,"JACKSON VALLEY IRRIGATION DISTRICT",4,"JVID PARDEE RES-TRT","TP","treatment_status","T3","DISINFECTION","DISINFECTION","HYPOCHLORINATION, POST"
"141",300037,"JACKSON VALLEY IRRIGATION DISTRICT",4,"JVID PARDEE RES-TRT","TP","treatment_status","T3","TRIMITE","PARTICULATE REMOVAL","FILTERED"
"142",300062,"HOPE FOUNDATION/MORIAH HEIGHTS",4,"HOPE FOUNDATION TREATMENT PLANT","TP","treatment_status","T1","CHEMICAL FEEDER","CORROSION CONTROL","PH ADJUSTMENT"
"143",300062,"HOPE FOUNDATION/MORIAH HEIGHTS",4,"HOPE FOUNDATION TREATMENT PLANT","TP","treatment_status","T1","CHEMICAL FEEDER","DISINFECTION","CHLORINATION (FRDS-1.5)"
"144",300062,"HOPE FOUNDATION/MORIAH HEIGHTS",4,"HOPE FOUNDATION TREATMENT PLANT","TP","treatment_status","T1","CHEMICAL FEEDER","IRON REMOVAL","FILTRATION, GREENSAND"
"145",300062,"HOPE FOUNDATION/MORIAH HEIGHTS",4,"HOPE FOUNDATION TREATMENT PLANT","TP","treatment_status","T1","DISINFECTION","CORROSION CONTROL","PH ADJUSTMENT"
"146",300062,"HOPE FOUNDATION/MORIAH HEIGHTS",4,"HOPE FOUNDATION TREATMENT PLANT","TP","treatment_status","T1","DISINFECTION","DISINFECTION","CHLORINATION (FRDS-1.5)"
"147",300062,"HOPE FOUNDATION/MORIAH HEIGHTS",4,"HOPE FOUNDATION TREATMENT PLANT","TP","treatment_status","T1","DISINFECTION","IRON REMOVAL","FILTRATION, GREENSAND"
"148",300062,"HOPE FOUNDATION/MORIAH HEIGHTS",4,"HOPE FOUNDATION TREATMENT PLANT","TP","treatment_status","T1","FILTER","CORROSION CONTROL","PH ADJUSTMENT"
"149",300062,"HOPE FOUNDATION/MORIAH HEIGHTS",4,"HOPE FOUNDATION TREATMENT PLANT","TP","treatment_status","T1","FILTER","DISINFECTION","CHLORINATION (FRDS-1.5)"
"150",300062,"HOPE FOUNDATION/MORIAH HEIGHTS",4,"HOPE FOUNDATION TREATMENT PLANT","TP","treatment_status","T1","FILTER","IRON REMOVAL","FILTRATION, GREENSAND"
"151",300073,"AWA - TIGER CREEK POWERHOUSE",2,"TIGER CREEK-TREATED","TP","treatment_status","T2","DISINFECTION","DISINFECTION","HYPOCHLORINATION, PRE"
